JTWID,PERSID,HHID,ORIGSLA,ORIGLGA,STARTHOUR,DESTSLA,DESTLGA,ARRHOUR,JTWMODE,JTWDIST,JTWTravelTime,JTWElapsedTime,TRAVELPERIOD,ADJTWWGT,WDJTWWGT,WEJTWWGT
Y09H154430P02JTW1,Y09H154430P02,Y09H154430,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - South,Ballarat (C),8,Bicycle,5.23,20,20,AM Peak (7am to 9am),36.00011985,47.33631578, 
Y09H154435P01JTW1,Y09H154435P01,Y09H154435,Ballarat (C) - Central,Ballarat (C),6,Ballarat (C) - Central,Ballarat (C),6,Vehicle Driver,2.75,10,10,Off Peak,24.5804375, ,105.5668983
Y09H154441P02JTW1,Y09H154441P02,Y09H154441,Ballarat (C) - Central,Ballarat (C),5,Ballarat (C) - South,Ballarat (C),5,Vehicle Driver,6.06,10,10,Off Peak,25.53936305, ,88.21341571
Y09H154502P02JTW1,Y09H154502P02,Y09H154502,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - South,Ballarat (C),8,Vehicle Passenger,7.3,25,25,AM Peak (7am to 9am),37.00312408,47.85891624, 
Y09H154515P02JTW1,Y09H154515P02,Y09H154515,Ballarat (C) - Central,Ballarat (C),13,Ballarat (C) - South,Ballarat (C),13,Vehicle Driver,2.62,7,7,Off Peak,21.16768996,28.92414073, 
Y09H154516P01JTW1,Y09H154516P01,Y09H154516,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - Central,Ballarat (C),8,Vehicle Driver,2.09,10,10,AM Peak (7am to 9am),31.11423229,40.24237072, 
Y09H154517P01JTW1,Y09H154517P01,Y09H154517,Ballarat (C) - Central,Ballarat (C),9,Ballarat (C) - Central,Ballarat (C),9,Vehicle Driver,2.88,10,10,Off Peak,29.97278451,40.06822797, 
Y09H154517P02JTW1,Y09H154517P02,Y09H154517,Ballarat (C) - Central,Ballarat (C),11,Ballarat (C) - Central,Ballarat (C),11,Vehicle Driver,2.27,10,10,Off Peak,40.08303907,54.90949518, 
Y09H154523P01JTW1,Y09H154523P01,Y09H154523,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - Central,Ballarat (C),9,Vehicle Driver,3.4,10,10,AM Peak (7am to 9am),31.99181015,43.32824208, 
Y09H154523P01JTW2,Y09H154523P01,Y09H154523,Ballarat (C) - Central,Ballarat (C),13,Ballarat (C) - Central,Ballarat (C),13,Vehicle Driver,3.4,8,8,Off Peak,31.99181015,43.32824208, 
Y09H154523P02JTW1,Y09H154523P02,Y09H154523,Ballarat (C) - Central,Ballarat (C),7,Ballarat (C) - Central,Ballarat (C),7,Vehicle Driver,2.75,5,5,AM Peak (7am to 9am),30.32456314,41.05397649, 
Y09H154523P03JTW1,Y09H154523P03,Y09H154523,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - Central,Ballarat (C),8,Vehicle Driver,1.84,5,5,AM Peak (7am to 9am),37.29129357,50.2192751, 
Y09H154524P01JTW1,Y09H154524P01,Y09H154524,Ballarat (C) - Central,Ballarat (C),6,South Barwon - Inner,Greater Geelong (C),8,Vehicle Driver,90.05,94,95,AM Peak (7am to 9am),24.98783929,34.34603948, 
Y09H154524P02JTW1,Y09H154524P02,Y09H154524,Ballarat (C) - Central,Ballarat (C),6,Melbourne (C) - Remainder,Melbourne (C),11,Train,124.28,158,320,AM Peak (7am to 9am),32.47824268,43.59475456, 
Y09H154537P01JTW1,Y09H154537P01,Y09H154537,Ballarat (C) - Central,Ballarat (C),6,Ballarat (C) - Inner North,Ballarat (C),6,Vehicle Driver,10.6,20,20,Off Peak,28.40388967,39.69716306, 
Y09H154537P02JTW1,Y09H154537P02,Y09H154537,Ballarat (C) - Central,Ballarat (C),15,Ballarat (C) - Central,Ballarat (C),15,Vehicle Driver,2.51,15,15,PM Peak (3pm to 6pm),27.12062102,38.81392213, 
Y09H154538P01JTW1,Y09H154538P01,Y09H154538,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - Central,Ballarat (C),8,Vehicle Driver,3.91,13,15,AM Peak (7am to 9am),24.98783929,34.34603948, 
Y09H154538P02JTW1,Y09H154538P02,Y09H154538,Ballarat (C) - Central,Ballarat (C),17,Ballarat (C) - Central,Ballarat (C),17,Vehicle Passenger,2.91,5,5,PM Peak (3pm to 6pm),26.06313418,34.04064693, 
Y09H154540P01JTW1,Y09H154540P01,Y09H154540,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - South,Ballarat (C),8,Vehicle Driver,10.72,20,25,AM Peak (7am to 9am),31.37689375,41.79266272, 
Y09H154540P02JTW1,Y09H154540P02,Y09H154540,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - South,Ballarat (C),8,Vehicle Driver,4.44,10,15,AM Peak (7am to 9am),26.71901375,34.76595987, 
Y09H154612P01JTW1,Y09H154612P01,Y09H154612,Ballarat (C) - Inner North,Ballarat (C),14,Ballarat (C) - South,Ballarat (C),14,Vehicle Driver,6.79,12,12,Off Peak,30.73332012,41.9181024, 
Y09H154619P02JTW1,Y09H154619P02,Y09H154619,Ballarat (C) - Inner North,Ballarat (C),8,Ballarat (C) - South,Ballarat (C),8,Vehicle Driver,7.43,15,15,AM Peak (7am to 9am),28.93688868,38.62097794, 
Y09H154620P02JTW1,Y09H154620P02,Y09H154620,Ballarat (C) - Inner North,Ballarat (C),9,Ballarat (C) - Central,Ballarat (C),9,Vehicle Driver,7.4,13,13,Off Peak,46.91566796, ,175.5619255
Y09H154624P02JTW1,Y09H154624P02,Y09H154624,Ballarat (C) - Inner North,Ballarat (C),6,Ballarat (C) - Inner North,Ballarat (C),6,Vehicle Driver,3.4,10,10,Off Peak,31.10383298,41.38812254, 
Y09H154638P02JTW1,Y09H154638P02,Y09H154638,Ballarat (C) - Inner North,Ballarat (C),8,Moorabool (S) - West,Moorabool (S),8,Vehicle Driver,13.66,20,20,AM Peak (7am to 9am),33.47290865,46.80162423, 
Y09H154641P01JTW1,Y09H154641P01,Y09H154641,Ballarat (C) - Inner North,Ballarat (C),8,Ballarat (C) - Inner North,Ballarat (C),9,Vehicle Driver,3.33,10,10,Off Peak,34.69965558, ,137.3630948
Y09H154641P02JTW1,Y09H154641P02,Y09H154641,Ballarat (C) - Inner North,Ballarat (C),14,Ballarat (C) - Central,Ballarat (C),14,Vehicle Driver,3.83,10,10,Off Peak,30.85954146, ,107.9467295
Y09H154702P01JTW1,Y09H154702P01,Y09H154702,Ballarat (C) - Central,Ballarat (C),13,Ballarat (C) - Central,Ballarat (C),13,Vehicle Driver,2.31,12,15,Off Peak,27.47821425,39.26902099, 
Y09H154702P01JTW2,Y09H154702P01,Y09H154702,Ballarat (C) - Central,Ballarat (C),18,Ballarat (C) - Central,Ballarat (C),18,Vehicle Driver,2.27,5,5,Off Peak,27.47821425,39.26902099, 
Y09H154704P01JTW1,Y09H154704P01,Y09H154704,Ballarat (C) - Central,Ballarat (C),6,Geelong,Greater Geelong (C),7,Vehicle Driver,88.08,72,76,AM Peak (7am to 9am),35.30521564,44.14830869, 
Y09H154708P01JTW1,Y09H154708P01,Y09H154708,Ballarat (C) - Central,Ballarat (C),7,Ballarat (C) - South,Ballarat (C),7,Vehicle Driver,6.65,19,19,AM Peak (7am to 9am),27.32274246,34.98128946, 
Y09H154713P01JTW1,Y09H154713P01,Y09H154713,Ballarat (C) - Central,Ballarat (C),5,Ballarat (C) - Central,Ballarat (C),5,Vehicle Driver,3.7,10,10,Off Peak,40.13615968, ,117.0756571
