JTWID,PERSID,HHID,ORIGSLA,ORIGLGA,STARTHOUR,DESTSLA,DESTLGA,ARRHOUR,JTWMODE,JTWDIST,JTWTravelTime,JTWElapsedTime,TRAVELPERIOD,ADJTWWGT,WDJTWWGT,WEJTWWGT
Y09H052203P02JTW1,Y09H052203P02,Y09H052203,Nillumbik (S) - South-West,Nillumbik (S),8,Whittlesea (C) - South-East,Whittlesea (C),8,Vehicle Driver,8.69,30,30,AM Peak (7am to 9am),57.26130521,71.62650973, 
Y09H052208P01JTW1,Y09H052208P01,Y09H052208,Nillumbik (S) - South-West,Nillumbik (S),6,Whitehorse (C) - Nunawading W.,Whitehorse (C),7,Vehicle Driver,19.86,30,30,Off Peak,52.9184671,65.98544346, 
Y09H052209P01JTW1,Y09H052209P01,Y09H052209,Nillumbik (S) - South-West,Nillumbik (S),7,Melbourne (C) - Inner,Melbourne (C),8,Train,27.62,73,73,AM Peak (7am to 9am),82.1558607,125.0028934, 
Y09H052209P02JTW1,Y09H052209P02,Y09H052209,Nillumbik (S) - South-West,Nillumbik (S),7,Moreland (C) - Brunswick,Moreland (C),8,Vehicle Driver,23.68,50,50,AM Peak (7am to 9am),77.777329,115.9402707, 
Y09H052210P01JTW1,Y09H052210P01,Y09H052210,Nillumbik (S) - South-West,Nillumbik (S),9,Banyule (C) - North,Banyule (C),9,Vehicle Driver,4.75,5,5,Off Peak,90.30552192,133.99843, 
Y09H052210P02JTW1,Y09H052210P02,Y09H052210,Nillumbik (S) - South-West,Nillumbik (S),8,Darebin (C) - Northcote,Darebin (C),8,Vehicle Driver,16.46,45,45,AM Peak (7am to 9am),84.58254987,125.2694656, 
Y09H052210P04JTW1,Y09H052210P04,Y09H052210,Nillumbik (S) - South-West,Nillumbik (S),16,Banyule (C) - North,Banyule (C),16,Vehicle Driver,9.09,20,20,PM Peak (3pm to 6pm),129.5221358,196.7881396, 
Y09H052211P01JTW1,Y09H052211P01,Y09H052211,Nillumbik (S) - South-West,Nillumbik (S),7,Banyule (C) - Heidelberg,Banyule (C),7,Vehicle Driver,12.2,30,30,AM Peak (7am to 9am),83.03345923,125.7977572, 
Y09H052211P02JTW1,Y09H052211P02,Y09H052211,Nillumbik (S) - South-West,Nillumbik (S),7,Banyule (C) - Heidelberg,Banyule (C),7,Vehicle Driver,12.2,30,30,AM Peak (7am to 9am),80.12853169,120.5473475, 
Y09H052218P01JTW1,Y09H052218P01,Y09H052218,Nillumbik (S) - South-West,Nillumbik (S),8,Boroondara (C) - Hawthorn,Boroondara (C),9,Vehicle Driver,20.46,60,60,AM Peak (7am to 9am),47.30335343,60.40142312, 
Y09H052218P02JTW1,Y09H052218P02,Y09H052218,Nillumbik (S) - South-West,Nillumbik (S),8,Banyule (C) - Heidelberg,Banyule (C),8,Vehicle Driver,14.83,25,25,AM Peak (7am to 9am),45.5132789,57.93012182, 
Y09H052222P01JTW1,Y09H052222P01,Y09H052222,Nillumbik (S) - South-West,Nillumbik (S),7,Hume (C) - Broadmeadows,Hume (C),8,Vehicle Driver,19.33,45,45,AM Peak (7am to 9am),80.41808397,121.5156974, 
Y09H052223P01JTW1,Y09H052223P01,Y09H052223,Nillumbik (S) - South-West,Nillumbik (S),6,Maroondah (C) - Croydon,Maroondah (C),7,Vehicle Driver,28.49,60,60,AM Peak (7am to 9am),45.24861121,58.3864829, 
Y09H052229P02JTW1,Y09H052229P02,Y09H052229,Nillumbik (S) - South-West,Nillumbik (S),10,Nillumbik (S) - South-West,Nillumbik (S),10,Vehicle Driver,2.59,10,10,Off Peak,50.85010457,64.76232852, 
Y09H052229P03JTW1,Y09H052229P03,Y09H052229,Nillumbik (S) - South-West,Nillumbik (S),8,Whitehorse (C) - Nunawading E.,Whitehorse (C),8,Vehicle Driver,20.31,30,30,AM Peak (7am to 9am),73.01873306,91.59124252, 
Y09H052232P01JTW1,Y09H052232P01,Y09H052232,Nillumbik (S) - South-West,Nillumbik (S),5,Bayside (C) - Brighton,Bayside (C),6,Vehicle Driver,30.71,65,65,Off Peak,97.73306899,143.9535204, 
Y09H052232P02JTW1,Y09H052232P02,Y09H052232,Nillumbik (S) - South-West,Nillumbik (S),8,Banyule (C) - North,Banyule (C),8,Vehicle Driver,4.93,10,10,AM Peak (7am to 9am),80.12853169,120.5473475, 
Y09H052232P03JTW1,Y09H052232P03,Y09H052232,Nillumbik (S) - South-West,Nillumbik (S),6,Yarra (C) - Richmond,Yarra (C),7,Vehicle Driver,22.17,45,45,AM Peak (7am to 9am),136.8386969,202.7535451, 
Y09H052232P04JTW1,Y09H052232P04,Y09H052232,Nillumbik (S) - South-West,Nillumbik (S),7,Nillumbik (S) - South-West,Nillumbik (S),7,Vehicle Driver,2.93,10,10,AM Peak (7am to 9am),140.514299,208.1996753, 
Y09H052232P05JTW1,Y09H052232P05,Y09H052232,Nillumbik (S) - South-West,Nillumbik (S),7,Banyule (C) - Heidelberg,Banyule (C),7,Vehicle Driver,11.8,30,30,AM Peak (7am to 9am),118.050826,178.0407043, 
Y09H052233P01JTW1,Y09H052233P01,Y09H052233,Nillumbik (S) - South-West,Nillumbik (S),8,Darebin (C) - Preston,Darebin (C),9,Vehicle Driver,13.43,30,30,AM Peak (7am to 9am),61.53410854,78.89529976, 
Y09H052234P03JTW1,Y09H052234P03,Y09H052234,Nillumbik (S) - South-West,Nillumbik (S),7,Whitehorse (C) - Nunawading W.,Whitehorse (C),7,Vehicle Driver,21.65,45,45,Off Peak,138.4929213, ,441.3553821
Y09H052238P02JTW1,Y09H052238P02,Y09H052238,Nillumbik (S) - South-West,Nillumbik (S),8,Whittlesea (C) - South-West,Whittlesea (C),8,Vehicle Driver,11.24,20,20,AM Peak (7am to 9am),49.07969643,63.26658304, 
Y09H052238P02JTW2,Y09H052238P02,Y09H052238,Nillumbik (S) - South-West,Nillumbik (S),12,Whittlesea (C) - South-West,Whittlesea (C),12,Vehicle Driver,11.24,15,15,Off Peak,49.07969643,63.26658304, 
Y09H052239P02JTW1,Y09H052239P02,Y09H052239,Nillumbik (S) - South-West,Nillumbik (S),11,Boroondara (C) - Hawthorn,Boroondara (C),12,Vehicle Driver,21.26,35,35,Off Peak,69.37019728,86.62992341, 
Y09H052240P01JTW1,Y09H052240P01,Y09H052240,Nillumbik (S) - South-West,Nillumbik (S),7,Whittlesea (C) - North,Whittlesea (C),8,Vehicle Driver,14.57,29,30,AM Peak (7am to 9am),70.16670253,89.96348791, 
Y09H052240P03JTW1,Y09H052240P03,Y09H052240,Nillumbik (S) - South-West,Nillumbik (S),7,Melbourne (C) - Remainder,Melbourne (C),8,Train,29.03,95,95,AM Peak (7am to 9am),73.56182749,93.88976102, 
Y09H052241P01JTW1,Y09H052241P01,Y09H052241,Nillumbik (S) - South-West,Nillumbik (S),6,Hume (C) - Broadmeadows,Hume (C),6,Vehicle Driver,21.4,45,45,Off Peak,115.8486506, ,370.0947307
Y09H052241P03JTW1,Y09H052241P03,Y09H052241,Nillumbik (S) - South-West,Nillumbik (S),10,Brimbank (C) - Sunshine,Brimbank (C),10,Vehicle Driver,31.43,35,35,Off Peak,169.8916285, ,577.7496667
Y09H052303P01JTW1,Y09H052303P01,Y09H052303,Whittlesea (C) - South-West,Whittlesea (C),8,Melbourne (C) - Inner,Melbourne (C),10,Train,26.31,100,100,AM Peak (7am to 9am),100.2902847,162.5420713, 
Y09H052305P01JTW1,Y09H052305P01,Y09H052305,Whittlesea (C) - South-West,Whittlesea (C),7,Hume (C) - Broadmeadows,Hume (C),8,Vehicle Driver,11.25,30,30,AM Peak (7am to 9am),172.5547123,292.6151167, 
Y09H052305P02JTW1,Y09H052305P02,Y09H052305,Whittlesea (C) - South-West,Whittlesea (C),7,Yarra (C) - Richmond,Yarra (C),7,Vehicle Driver,19.49,35,35,AM Peak (7am to 9am),214.3962703,363.0835648, 
Y09H052305P03JTW1,Y09H052305P03,Y09H052305,Whittlesea (C) - South-West,Whittlesea (C),8,Moreland (C) - Coburg,Moreland (C),8,Vehicle Driver,11.47,30,30,AM Peak (7am to 9am),263.0035611,437.582804, 
Y09H052309P01JTW1,Y09H052309P01,Y09H052309,Whittlesea (C) - South-West,Whittlesea (C),6,Banyule (C) - Heidelberg,Banyule (C),7,Vehicle Driver,13.06,30,35,AM Peak (7am to 9am),101.893476,166.4254101, 
Y09H052309P02JTW1,Y09H052309P02,Y09H052309,Whittlesea (C) - South-West,Whittlesea (C),7,Banyule (C) - Heidelberg,Banyule (C),7,Vehicle Driver,8.75,25,25,AM Peak (7am to 9am),85.97603614,139.9786343, 
Y09H052315P01JTW1,Y09H052315P01,Y09H052315,Whittlesea (C) - South-West,Whittlesea (C),8,Hume (C) - Broadmeadows,Hume (C),8,Vehicle Driver,10.8,30,30,AM Peak (7am to 9am),136.1204223,218.6540369, 
Y09H052315P02JTW1,Y09H052315P02,Y09H052315,Whittlesea (C) - South-West,Whittlesea (C),11,Whittlesea (C) - South-East,Whittlesea (C),11,Vehicle Driver,7.05,15,15,Off Peak,146.0863553,231.127991, 
Y09H052315P04JTW1,Y09H052315P04,Y09H052315,Whittlesea (C) - South-West,Whittlesea (C),6,Whittlesea (C) - South-West,Whittlesea (C),6,Vehicle Driver,2.27,10,10,Off Peak,191.0301216,308.7286587, 
Y09H052315P04JTW2,Y09H052315P04,Y09H052315,Whittlesea (C) - South-West,Whittlesea (C),13,Whittlesea (C) - South-West,Whittlesea (C),13,Vehicle Driver,2.27,10,10,Off Peak,191.0301216,308.7286587, 
Y09H052315P05JTW1,Y09H052315P05,Y09H052315,Whittlesea (C) - South-West,Whittlesea (C),8,Banyule (C) - Heidelberg,Banyule (C),8,Vehicle Driver,12.67,15,15,AM Peak (7am to 9am),178.4214728,288.3514993, 
Y09H052318P01JTW1,Y09H052318P01,Y09H052318,Whittlesea (C) - South-West,Whittlesea (C),6,Hume (C) - Broadmeadows,Hume (C),6,Vehicle Driver,16.09,25,25,Off Peak,111.440541,179.3160548, 
Y09H052318P02JTW1,Y09H052318P02,Y09H052318,Whittlesea (C) - South-West,Whittlesea (C),6,Hume (C) - Broadmeadows,Hume (C),6,Vehicle Passenger,11.77,15,15,Off Peak,89.87074877,144.9128394, 
Y09H052322P01JTW1,Y09H052322P01,Y09H052322,Whittlesea (C) - South-West,Whittlesea (C),8,Whittlesea (C) - South-West,Whittlesea (C),8,Vehicle Driver,1.91,5,5,AM Peak (7am to 9am),151.1495907,218.2532216, 
Y09H052325P01JTW1,Y09H052325P01,Y09H052325,Whittlesea (C) - South-West,Whittlesea (C),6,Whittlesea (C) - South-West,Whittlesea (C),6,Vehicle Driver,1.68,8,8,Off Peak,122.2604422,176.7757569, 
Y09H052325P02JTW1,Y09H052325P02,Y09H052325,Whittlesea (C) - South-West,Whittlesea (C),5,Whittlesea (C) - South-West,Whittlesea (C),5,Vehicle Driver,1.8,8,8,Off Peak,127.257146,183.4129508, 
Y09H052325P03JTW1,Y09H052325P03,Y09H052325,Whittlesea (C) - South-West,Whittlesea (C),7,Melbourne (C) - Inner,Melbourne (C),8,Train,20.54,70,70,AM Peak (7am to 9am),106.4903598,150.0532271, 
Y09H052328P01JTW1,Y09H052328P01,Y09H052328,Whittlesea (C) - South-West,Whittlesea (C),10,Darebin (C) - Preston,Darebin (C),10,Vehicle Driver,8.13,20,20,Off Peak,142.8512782, ,398.0308134
Y09H052329P01JTW1,Y09H052329P01,Y09H052329,Whittlesea (C) - South-West,Whittlesea (C),4,Boroondara (C) - Hawthorn,Boroondara (C),5,Vehicle Driver,20.65,40,40,Off Peak,152.9671189,245.7153562, 
Y09H052329P02JTW1,Y09H052329P02,Y09H052329,Whittlesea (C) - South-West,Whittlesea (C),8,Whitehorse (C) - Nunawading E.,Whitehorse (C),9,Vehicle Driver,32.42,58,65,AM Peak (7am to 9am),122.8373254,194.344942, 
Y09H052331P01JTW1,Y09H052331P01,Y09H052331,Whittlesea (C) - South-West,Whittlesea (C),5,Whittlesea (C) - South-West,Whittlesea (C),5,Vehicle Driver,2.53,15,15,Off Peak,132.9489075,188.3074795, 
Y09H052331P03JTW1,Y09H052331P03,Y09H052331,Whittlesea (C) - South-West,Whittlesea (C),8,Darebin (C) - Northcote,Darebin (C),9,Vehicle Driver,10.6,35,35,AM Peak (7am to 9am),110.5593555,156.9696219, 
Y09H052333P02JTW1,Y09H052333P02,Y09H052333,Whittlesea (C) - South-West,Whittlesea (C),8,Boroondara (C) - Hawthorn,Boroondara (C),9,Vehicle Driver,20.16,60,60,AM Peak (7am to 9am),47.70003146,115.7034273, 
Y09H052337P01JTW1,Y09H052337P01,Y09H052337,Whittlesea (C) - South-West,Whittlesea (C),7,Banyule (C) - Heidelberg,Banyule (C),7,Vehicle Driver,10.32,25,25,AM Peak (7am to 9am),106.6110621,173.2104385, 
Y09H052339P01JTW1,Y09H052339P01,Y09H052339,Whittlesea (C) - South-West,Whittlesea (C),8,Stonnington (C) - Prahran,Stonnington (C),9,Vehicle Driver,20.67,85,88,AM Peak (7am to 9am),110.1214638,177.1935623, 
Y09H052339P02JTW1,Y09H052339P02,Y09H052339,Whittlesea (C) - South-West,Whittlesea (C),7,Whittlesea (C) - South-West,Whittlesea (C),7,Vehicle Driver,4.84,9,9,AM Peak (7am to 9am),111.2322647,179.3573942, 
Y09H052340P01JTW1,Y09H052340P01,Y09H052340,Whittlesea (C) - South-West,Whittlesea (C),8,Maribyrnong (C),Maribyrnong (C),9,Vehicle Passenger,22.81,30,30,AM Peak (7am to 9am),138.9680096,224.9739937, 
Y09H052340P02JTW1,Y09H052340P02,Y09H052340,Whittlesea (C) - South-West,Whittlesea (C),8,Maribyrnong (C),Maribyrnong (C),9,Vehicle Driver,22.81,30,30,AM Peak (7am to 9am),141.1070768,227.9574201, 
Y09H052409P01JTW1,Y09H052409P01,Y09H052409,Whittlesea (C) - South-East,Whittlesea (C),8,Knox (C) - North-East,Knox (C),9,Vehicle Driver,34.35,60,60,AM Peak (7am to 9am),83.63943656,125.7806315, 
Y09H052409P03JTW1,Y09H052409P03,Y09H052409,Whittlesea (C) - South-East,Whittlesea (C),7,Darebin (C) - Preston,Darebin (C),11,Vehicle Driver,92.41,125,255,AM Peak (7am to 9am),122.6569322,180.3991679, 
Y09H052417P01JTW1,Y09H052417P01,Y09H052417,Whittlesea (C) - South-East,Whittlesea (C),14,Hume (C) - Broadmeadows,Hume (C),14,Vehicle Driver,19.3,25,25,Off Peak,90.75843321,136.2355738, 
Y09H052420P01JTW1,Y09H052420P01,Y09H052420,Whittlesea (C) - South-East,Whittlesea (C),7,Wyndham (C) - North,Wyndham (C),8,Vehicle Driver,43.96,60,60,Off Peak,198.9370214, ,526.1601014
Y09H052423P03JTW1,Y09H052423P03,Y09H052423,Whittlesea (C) - South-East,Whittlesea (C),6,Hume (C) - Craigieburn,Hume (C),6,Vehicle Driver,11.82,20,20,Off Peak,90.72002588,134.9880931, 
Y09H052425P01JTW1,Y09H052425P01,Y09H052425,Whittlesea (C) - South-East,Whittlesea (C),9,Darebin (C) - Preston,Darebin (C),9,Vehicle Driver,10.49,26,32,Off Peak,132.6392381,197.7453038, 
Y09H052426P03JTW1,Y09H052426P03,Y09H052426,Whittlesea (C) - South-East,Whittlesea (C),11,Yarra (C) - North,Yarra (C),11,Vehicle Driver,15.66,30,30,Off Peak,250.597734,383.1596377, 
Y09H052426P04JTW1,Y09H052426P04,Y09H052426,Whittlesea (C) - South-East,Whittlesea (C),6,Whittlesea (C) - South-East,Whittlesea (C),6,Walking,0.26,3,3,Off Peak,290.4805373,436.3438977, 
Y09H052436P01JTW1,Y09H052436P01,Y09H052436,Whittlesea (C) - South-East,Whittlesea (C),5,Moreland (C) - Brunswick,Moreland (C),5,Vehicle Driver,17.39,20,20,Off Peak,200.7449477,315.7867035, 
Y09H052436P03JTW1,Y09H052436P03,Y09H052436,Whittlesea (C) - South-East,Whittlesea (C),7,Melbourne (C) - Inner,Melbourne (C),8,Train,26.54,70,70,AM Peak (7am to 9am),229.1224339,369.0509689, 
Y09H052437P01JTW1,Y09H052437P01,Y09H052437,Whittlesea (C) - South-East,Whittlesea (C),6,Brimbank (C) - Sunshine,Brimbank (C),7,Vehicle Driver,30.14,40,40,AM Peak (7am to 9am),86.47603218,129.3590925, 
Y09H052437P02JTW1,Y09H052437P02,Y09H052437,Whittlesea (C) - South-East,Whittlesea (C),7,Whittlesea (C) - South-East,Whittlesea (C),7,Vehicle Driver,1.15,5,5,AM Peak (7am to 9am),80.47431582,120.6343647, 
Y09H052503P01JTW1,Y09H052503P01,Y09H052503,Hume (C) - Sunbury,Hume (C),6,Melbourne (C) - Inner,Melbourne (C),7,Train,43.67,58,58,AM Peak (7am to 9am),119.5770197,151.0739981, 
Y09H052522P01JTW1,Y09H052522P01,Y09H052522,Hume (C) - Sunbury,Hume (C),8,Darebin (C) - Preston,Darebin (C),8,Vehicle Driver,35.73,46,50,AM Peak (7am to 9am),196.0735568,291.6630916, 
Y09H052523P01JTW1,Y09H052523P01,Y09H052523,Hume (C) - Sunbury,Hume (C),7,Port Phillip (C) - West,Port Phillip (C),8,Vehicle Driver,41.2,60,60,AM Peak (7am to 9am),98.28672017,123.844335, 
Y09H052525P03JTW1,Y09H052525P03,Y09H052525,Hume (C) - Sunbury,Hume (C),8,Hume (C) - Sunbury,Hume (C),8,Vehicle Driver,5.37,10,10,AM Peak (7am to 9am),103.4772155,127.8361187, 
Y09H052602P01JTW1,Y09H052602P01,Y09H052602,Nillumbik (S) - South,Nillumbik (S),11,Manningham (C) - West,Manningham (C),11,Vehicle Driver,12.64,18,18,Off Peak,92.74780813,123.1955211, 
Y09H052610P01JTW1,Y09H052610P01,Y09H052610,Nillumbik (S) - South,Nillumbik (S),5,Melbourne (C) - Inner,Melbourne (C),6,Train,31.54,60,60,Off Peak,72.02116373,103.822085, 
Y09H052616P01JTW1,Y09H052616P01,Y09H052616,Nillumbik (S) - South,Nillumbik (S),27,Whittlesea (C) - South-West,Whittlesea (C),27,Vehicle Driver,13.15,20,20,Off Peak,93.66941558,121.4047608, 
Y09H052617P02JTW1,Y09H052617P02,Y09H052617,Nillumbik (S) - South,Nillumbik (S),7,Melbourne (C) - Inner,Melbourne (C),8,Vehicle Driver,24.39,30,30,AM Peak (7am to 9am),72.02116373,103.822085, 
Y09H052701P02JTW1,Y09H052701P02,Y09H052701,Whittlesea (C) - South-West,Whittlesea (C),7,Banyule (C) - Heidelberg,Banyule (C),8,Vehicle Passenger,11.28,30,30,AM Peak (7am to 9am),165.5267288,238.5821565, 
Y09H052711P02JTW1,Y09H052711P02,Y09H052711,Whittlesea (C) - South-West,Whittlesea (C),8,Melton (S) - East,Melton (S),8,Vehicle Driver,29.6,45,45,AM Peak (7am to 9am),116.6409312,186.6722088, 
Y09H052728P01JTW1,Y09H052728P01,Y09H052728,Whittlesea (C) - South-West,Whittlesea (C),8,Moreland (C) - Coburg,Moreland (C),8,Vehicle Driver,10.96,15,15,Off Peak,107.6390013, ,382.4255451
Y09H052729P03JTW1,Y09H052729P03,Y09H052729,Whittlesea (C) - South-West,Whittlesea (C),7,Melbourne (C) - Inner,Melbourne (C),9,Train,20.68,74,74,AM Peak (7am to 9am),168.6731109,243.7224198, 
Y09H052732P01JTW1,Y09H052732P01,Y09H052732,Whittlesea (C) - South-West,Whittlesea (C),8,Melbourne (C) - Inner,Melbourne (C),10,Vehicle Passenger,20.54,80,80,AM Peak (7am to 9am),158.3565182,226.6173311, 
Y09H052739P01JTW1,Y09H052739P01,Y09H052739,Whittlesea (C) - South-West,Whittlesea (C),5,Hume (C) - Broadmeadows,Hume (C),5,Vehicle Driver,7.19,15,15,Off Peak,142.8217278,206.5674244, 
Y09H052830P01JTW1,Y09H052830P01,Y09H052830,Hume (C) - Craigieburn,Hume (C),10,Maribyrnong (C),Maribyrnong (C),10,Vehicle Driver,21.06,35,35,Off Peak,158.0384107,206.1224709, 
Y09H052832P01JTW1,Y09H052832P01,Y09H052832,Hume (C) - Craigieburn,Hume (C),5,Hume (C) - Broadmeadows,Hume (C),5,Vehicle Driver,6.99,10,10,Off Peak,117.8599027,176.9427737, 
Y09H052904P01JTW1,Y09H052904P01,Y09H052904,Hume (C) - Broadmeadows,Hume (C),5,Darebin (C) - Northcote,Darebin (C),6,Vehicle Driver,14.14,10,10,Off Peak,441.4392412,705.404364, 
Y09H052909P01JTW1,Y09H052909P01,Y09H052909,Hume (C) - Broadmeadows,Hume (C),8,Hume (C) - Craigieburn,Hume (C),8,Vehicle Driver,10.49,30,30,AM Peak (7am to 9am),228.2955707,351.9042207, 
Y09H052919P01JTW1,Y09H052919P01,Y09H052919,Hume (C) - Broadmeadows,Hume (C),8,Hume (C) - Craigieburn,Hume (C),8,Vehicle Driver,6.39,10,10,AM Peak (7am to 9am),235.1040755,366.8169061, 
Y09H053002P01JTW1,Y09H053002P01,Y09H053002,Whittlesea (C) - North,Whittlesea (C),4,Hume (C) - Craigieburn,Hume (C),4,Vehicle Driver,26.81,25,25,Off Peak,179.486715,308.8918668, 
Y09H053003P01JTW1,Y09H053003P01,Y09H053003,Whittlesea (C) - North,Whittlesea (C),8,Whittlesea (C) - South-West,Whittlesea (C),8,Vehicle Driver,10.35,15,15,AM Peak (7am to 9am),183.8950073,314.6583841, 
Y09H053015P02JTW1,Y09H053015P02,Y09H053015,Whittlesea (C) - North,Whittlesea (C),8,Banyule (C) - Heidelberg,Banyule (C),9,Vehicle Driver,17.25,30,30,AM Peak (7am to 9am),246.3280274,419.9355418, 
Y09H053015P03JTW1,Y09H053015P03,Y09H053015,Whittlesea (C) - North,Whittlesea (C),7,Moreland (C) - Brunswick,Moreland (C),8,Vehicle Driver,23.28,40,40,AM Peak (7am to 9am),306.058349,521.0656758, 
Y09H053017P01JTW1,Y09H053017P01,Y09H053017,Whittlesea (C) - North,Whittlesea (C),7,Whittlesea (C) - South-West,Whittlesea (C),8,Vehicle Driver,14.07,25,25,AM Peak (7am to 9am),191.1277485,328.0817233, 
Y09H053017P02JTW1,Y09H053017P02,Y09H053017,Whittlesea (C) - North,Whittlesea (C),6,Melbourne (C) - Remainder,Melbourne (C),7,Train,28.65,72,72,AM Peak (7am to 9am),183.8950073,314.6583841, 
Y09H053018P03JTW1,Y09H053018P03,Y09H053018,Whittlesea (C) - North,Whittlesea (C),8,Darebin (C) - Preston,Darebin (C),9,Vehicle Driver,13.75,42,42,AM Peak (7am to 9am),105.1441195,140.2041331, 
Y09H053018P04JTW1,Y09H053018P04,Y09H053018,Whittlesea (C) - North,Whittlesea (C),7,Darebin (C) - Preston,Darebin (C),8,Vehicle Driver,17.76,15,30,AM Peak (7am to 9am),133.8295013,181.5346754, 
Y09H053021P03JTW1,Y09H053021P03,Y09H053021,Whittlesea (C) - North,Whittlesea (C),7,Whittlesea (C) - South-East,Whittlesea (C),8,Vehicle Driver,4.15,10,10,Off Peak,192.3709739, ,484.62363
Y09H053021P04JTW1,Y09H053021P04,Y09H053021,Whittlesea (C) - North,Whittlesea (C),5,Whittlesea (C) - South-East,Whittlesea (C),5,Vehicle Passenger,5.16,10,10,Off Peak,175.8060545, ,443.9154824
Y09H053031P01JTW1,Y09H053031P01,Y09H053031,Whittlesea (C) - North,Whittlesea (C),8,Darebin (C) - Preston,Darebin (C),8,Vehicle Driver,10.91,20,20,AM Peak (7am to 9am),187.0780673,312.9532536, 
Y09H053032P01JTW1,Y09H053032P01,Y09H053032,Whittlesea (C) - North,Whittlesea (C),6,Whittlesea (C) - North,Whittlesea (C),6,Vehicle Driver,4.33,10,10,Off Peak,112.9856921,150.3442197, 
Y09H053032P02JTW1,Y09H053032P02,Y09H053032,Whittlesea (C) - North,Whittlesea (C),8,Banyule (C) - North,Banyule (C),8,Vehicle Driver,16.26,45,45,AM Peak (7am to 9am),127.8232365,170.4455384, 
Y09H053034P01JTW1,Y09H053034P01,Y09H053034,Whittlesea (C) - North,Whittlesea (C),5,Melbourne (C) - Remainder,Melbourne (C),6,Vehicle Driver,25.74,40,40,Off Peak,136.4902037, ,200.3799178
Y09H053034P02JTW1,Y09H053034P02,Y09H053034,Whittlesea (C) - North,Whittlesea (C),8,Melbourne (C) - Remainder,Melbourne (C),9,Vehicle Driver,22.84,45,45,Off Peak,111.2646174, ,153.074524
Y09H053118P01JTW1,Y09H053118P01,Y09H053118,Nillumbik (S) - South-West,Nillumbik (S),7,Melbourne (C) - Southbank & Docklands,Melbourne (C),8,Train,33.48,75,75,AM Peak (7am to 9am),120.5932271,177.5454351, 
Y09H053118P02JTW1,Y09H053118P02,Y09H053118,Nillumbik (S) - South-West,Nillumbik (S),7,Whittlesea (C) - North,Whittlesea (C),8,Vehicle Driver,10.84,50,50,AM Peak (7am to 9am),94.48784821,142.0863221, 
Y09H053118P03JTW1,Y09H053118P03,Y09H053118,Nillumbik (S) - South-West,Nillumbik (S),4,Maribyrnong (C),Maribyrnong (C),6,Train,43.77,140,140,Off Peak,106.2023123,159.1289524, 
Y09H053118P04JTW1,Y09H053118P04,Y09H053118,Nillumbik (S) - South-West,Nillumbik (S),7,Yarra (C) - Richmond,Yarra (C),8,Train,33.45,80,80,AM Peak (7am to 9am),117.0519093,176.4552626, 
Y09H053124P01JTW1,Y09H053124P01,Y09H053124,Nillumbik (S) - South-West,Nillumbik (S),8,Nillumbik (S) - South,Nillumbik (S),8,Vehicle Driver,5.49,15,15,AM Peak (7am to 9am),160.5265673,239.4666406, 
Y09H053124P02JTW1,Y09H053124P02,Y09H053124,Nillumbik (S) - South-West,Nillumbik (S),7,Yarra (C) - Richmond,Yarra (C),8,Vehicle Driver,26.25,60,60,AM Peak (7am to 9am),116.4468425,176.8139664, 
Y09H053134P02JTW1,Y09H053134P02,Y09H053134,Nillumbik (S) - South-West,Nillumbik (S),12,Banyule (C) - Heidelberg,Banyule (C),12,Vehicle Driver,14.54,27,30,Off Peak,167.5119508, ,569.726311
Y09H053137P02JTW1,Y09H053137P02,Y09H053137,Nillumbik (S) - South-West,Nillumbik (S),6,Yarra (C) - North,Yarra (C),7,Vehicle Driver,26.01,50,50,AM Peak (7am to 9am),90.65019711,135.1297689, 
Y09H053204P02JTW1,Y09H053204P02,Y09H053204,Nillumbik (S) - Balance,Nillumbik (S),8,Yarra Ranges (S) - Lilydale,Yarra Ranges (S),9,Vehicle Driver,31.55,50,50,AM Peak (7am to 9am),42.56501425,61.8216605, 
Y09H053205P01JTW1,Y09H053205P01,Y09H053205,Nillumbik (S) - Balance,Nillumbik (S),7,Banyule (C) - Heidelberg,Banyule (C),7,Vehicle Driver,18.45,25,25,AM Peak (7am to 9am),30.30084318,43.95351268, 
Y09H053205P02JTW1,Y09H053205P02,Y09H053205,Nillumbik (S) - Balance,Nillumbik (S),7,Melbourne (C) - Inner,Melbourne (C),8,Train,35.04,85,85,AM Peak (7am to 9am),27.91741231,41.36221201, 
Y09H053205P03JTW1,Y09H053205P03,Y09H053205,Nillumbik (S) - Balance,Nillumbik (S),7,Whitehorse (C) - Box Hill,Whitehorse (C),8,Vehicle Driver,25.57,50,50,AM Peak (7am to 9am),42.42502502,61.90699948, 
Y09H053208P01JTW1,Y09H053208P01,Y09H053208,Nillumbik (S) - Balance,Nillumbik (S),7,Hume (C) - Broadmeadows,Hume (C),7,Vehicle Driver,27.55,32,32,AM Peak (7am to 9am),27.57134018,41.27572507, 
Y09H053208P03JTW1,Y09H053208P03,Y09H053208,Nillumbik (S) - Balance,Nillumbik (S),6,Nillumbik (S) - Balance,Nillumbik (S),7,Vehicle Driver,21.07,27,30,AM Peak (7am to 9am),32.96055177,49.12039089, 
Y09H053209P02JTW1,Y09H053209P02,Y09H053209,Nillumbik (S) - Balance,Nillumbik (S),6,Melbourne (C) - Inner,Melbourne (C),7,Train,36.66,93,103,AM Peak (7am to 9am),29.43655855,49.44642798, 
